Alternator Information,1-2,Alternator Speed,2 bytes
Alternator Information,3.1,Alternator 1 Status,2 bits
Alternator Information,3.3,Alternator 2 Status,2 bits
Alternator Information,3.5,Alternator 3 Status,2 bits
Alternator Information,3.7,Alternator 4 Status,2 bits
